CITY,STATE,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,QUANTITYORDERED_is_outlier,PRICEEACH_is_outlier,SALES_is_outlier,MSRP_is_outlier,QUANTITYORDERED_capped,PRICEEACH_capped,SALES_capped,MSRP_capped
Oulu,Oulu,10151,39,69.28,9,2701.92,Shipped,3,9,2003,Trucks and Buses,60,S18_2432,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,NOT PROVIDED,90110,Finland,EMEA,Koskitalo,Pirkko,Small,false,false,false,false,39.0,69.28,2701.92,60.0
Singapore,Singapore,10165,31,71.1,18,2204.1,Shipped,4,10,2003,Trucks and Buses,60,S18_2432,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",NOT PROVIDED,79903,Singapore,Japan,Natividad,Eric,Small,false,false,false,false,31.0,71.1,2204.1,60.0
London,London,10175,41,69.28,7,2840.48,Shipped,4,11,2003,Trucks and Buses,60,S18_2432,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,NOT PROVIDED,WX3 6FW,UK,EMEA,Brown,Ann,Small,false,false,false,false,41.0,69.28,2840.48,60.0
Sevilla,Sevilla,10184,44,60.16,12,2647.04,Shipped,4,11,2003,Trucks and Buses,60,S18_2432,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",NOT PROVIDED,41101,Spain,EMEA,Roel,Jose Pedro,Small,false,false,false,false,44.0,60.16,2647.04,60.0
Lyon,Lyon,10194,45,70.49,2,3172.05,Shipped,4,11,2003,Trucks and Buses,60,S18_2432,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",NOT PROVIDED,69004,France,EMEA,Saveley,Mary,Medium,false,false,false,false,45.0,70.49,3172.05,60.0
Boston,MA,10207,37,69.89,13,2585.93,Shipped,4,12,2003,Trucks and Buses,60,S18_2432,Diecast Collectables,6175552555,6251 Ingle Ln.,NOT PROVIDED,51003,USA,NA,Franco,Valarie,Small,false,false,false,false,37.0,69.89,2585.93,60.0
Singapore,Singapore,10217,35,61.38,2,2148.3,Shipped,1,2,2004,Trucks and Buses,60,S18_2432,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,69045,Singapore,APAC,Victorino,Wendy,Small,false,false,false,false,35.0,61.38,2148.3,60.0
San Rafael,CA,10229,28,59.55,7,1667.4,Shipped,1,3,2004,Trucks and Buses,60,S18_2432,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,NOT PROVIDED,97562,USA,NA,Nelson,Valarie,Small,false,false,false,false,28.0,59.55,1667.4,60.0
Madrid,Madrid,10246,30,61.99,11,1859.7,Shipped,2,5,2004,Trucks and Buses,60,S18_2432,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Small,false,false,false,false,30.0,61.99,1859.7,60.0
Singapore,Singapore,10259,30,49.22,10,1476.6,Shipped,2,6,2004,Trucks and Buses,60,S18_2432,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,69045,Singapore,APAC,Victorino,Wendy,Small,false,false,false,false,30.0,49.22,1476.6,60.0
San Rafael,CA,10271,25,69.28,11,1732.0,Shipped,3,7,2004,Trucks and Buses,60,S18_2432,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,NOT PROVIDED,97562,USA,NA,Nelson,Valarie,Small,false,false,false,false,25.0,69.28,1732.0,60.0
Allentown,PA,10281,29,57.73,7,1674.17,Shipped,3,8,2004,Trucks and Buses,60,S18_2432,Diecast Classics Inc.,2155551555,7586 Pompton St.,NOT PROVIDED,70267,USA,NA,Yu,Kyung,Small,false,false,false,false,29.0,57.73,1674.17,60.0
Boras,Boras,10291,26,57.73,2,1500.98,Shipped,3,9,2004,Trucks and Buses,60,S18_2432,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,NOT PROVIDED,S-844 67,Sweden,EMEA,Larsson,Maria,Small,false,false,false,false,26.0,57.73,1500.98,60.0
Cambridge,MA,10305,41,53.48,11,2192.68,Shipped,4,10,2004,Trucks and Buses,60,S18_2432,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,NOT PROVIDED,51247,USA,NA,Hernandez,Marta,Small,false,false,false,false,41.0,53.48,2192.68,60.0
Vancouver,BC,10313,34,52.87,5,1797.58,Shipped,4,10,2004,Trucks and Buses,60,S18_2432,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,NOT PROVIDED,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Small,false,false,false,false,34.0,52.87,1797.58,60.0
Nashua,NH,10322,35,61.21,11,2142.35,Shipped,4,11,2004,Trucks and Buses,60,S18_2432,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,NOT PROVIDED,62005,USA,NA,Young,Valarie,Small,false,false,false,false,35.0,61.21,2142.35,60.0
Lule,Lule,10334,34,61.38,1,2086.92,On Hold,4,11,2004,Trucks and Buses,60,S18_2432,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv�gen  8,NOT PROVIDED,S-958 22,Sweden,EMEA,Berglund,Christina,Small,false,false,false,false,34.0,61.38,2086.92,60.0
Melbourne,Victoria,10347,50,100.0,8,6834.5,Shipped,4,11,2004,Trucks and Buses,60,S18_2432,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Medium,false,false,false,false,50.0,100.0,6834.5,60.0
San Rafael,CA,10357,41,61.99,7,2541.59,Shipped,4,12,2004,Trucks and Buses,60,S18_2432,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,NOT PROVIDED,97562,USA,NA,Nelson,Valarie,Small,false,false,false,false,41.0,61.99,2541.59,60.0
North Sydney,NSW,10370,22,96.86,7,2130.92,Shipped,1,1,2005,Trucks and Buses,60,S18_2432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,2060,Australia,APAC,O'Hara,Anna,Small,false,false,false,false,22.0,96.86,2130.92,60.0
San Francisco,CA,10381,35,48.62,7,1701.7,Shipped,1,2,2005,Trucks and Buses,60,S18_2432,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,NOT PROVIDED,CA00000,USA,NA,Brown,Julie,Small,false,false,false,false,35.0,48.62,1701.7,60.0
North Sydney,NSW,10391,44,38.5,5,1694.0,Shipped,1,3,2005,Trucks and Buses,60,S18_2432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,2060,Australia,APAC,O'Hara,Anna,Small,false,false,false,false,44.0,38.5,1694.0,60.0
Madrid,Madrid,10412,47,61.99,11,2913.53,Shipped,2,5,2005,Trucks and Buses,60,S18_2432,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Small,false,false,false,false,47.0,61.99,2913.53,60.0
Nantes,Nantes,10425,19,49.22,10,935.18,In Process,2,5,2005,Trucks and Buses,60,S18_2432,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",NOT PROVIDED,44000,France,EMEA,Labrune,Janine,Small,false,false,false,false,19.0,49.22,935.18,60.0
Bergamo,Bergamo,10106,34,90.39,2,3073.26,Shipped,1,2,2003,Planes,84,S18_2581,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,NOT PROVIDED,24100,Italy,EMEA,Rovelli,Giovanni,Medium,false,false,false,false,34.0,90.39,3073.26,84.0
Melbourne,Victoria,10120,29,71.81,8,2082.49,Shipped,2,4,2003,Planes,84,S18_2581,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Small,false,false,false,false,29.0,71.81,2082.49,84.0
Madrid,Madrid,10133,49,69.27,3,3394.23,Shipped,2,6,2003,Planes,84,S18_2581,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Medium,false,false,false,false,49.0,69.27,3394.23,84.0
Pasadena,CA,10145,30,85.32,14,2559.6,Shipped,3,8,2003,Planes,84,S18_2581,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,NOT PROVIDED,90003,USA,NA,Young,Julie,Small,false,false,false,false,30.0,85.32,2559.6,84.0
Burlingame,CA,10168,21,70.96,9,1490.16,Shipped,4,10,2003,Planes,84,S18_2581,Technics Stores Inc.,6505556809,9408 Furth Circle,NOT PROVIDED,94217,USA,NA,Hirano,Juri,Small,false,false,false,false,21.0,70.96,1490.16,84.0
Osaka,Osaka,10210,50,76.88,7,3844.0,Shipped,1,1,2004,Planes,84,S18_2581,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",NOT PROVIDED,530-0003,Japan,Japan,Kentary,Mory,Medium,false,false,false,false,50.0,76.88,3844.0,84.0
Melbourne,Victoria,10223,47,100.0,9,4724.91,Shipped,1,2,2004,Planes,84,S18_2581,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Medium,false,false,false,false,47.0,100.0,4724.91,84.0
Tsawassen,BC,10235,24,76.03,3,1824.72,Shipped,2,4,2004,Planes,84,S18_2581,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,NOT PROVIDED,T2F 8M4,Canada,NA,Lincoln,Elizabeth,Small,false,false,false,false,24.0,76.03,1824.72,84.0
San Jose,CA,10250,27,98.84,4,2668.68,Shipped,2,5,2004,Planes,84,S18_2581,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,NOT PROVIDED,94217,USA,NA,Frick,Sue,Small,false,false,false,false,27.0,98.84,2668.68,84.0
Bridgewater,CT,10263,33,86.17,10,2843.61,Shipped,2,6,2004,Planes,84,S18_2581,Gift Depot Inc.,2035552570,25593 South Bay Ln.,NOT PROVIDED,97562,USA,NA,King,Julie,Small,false,false,false,false,33.0,86.17,2843.61,84.0
Nantes,Nantes,10275,35,90.39,9,3163.65,Shipped,3,7,2004,Planes,84,S18_2581,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",NOT PROVIDED,44000,France,EMEA,Labrune,Janine,Medium,false,false,false,false,35.0,90.39,3163.65,84.0
Oslo,Oslo,10284,31,71.81,1,2226.11,Shipped,3,8,2004,Planes,84,S18_2581,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",NOT PROVIDED,N 0106,Norway,EMEA,Klaeboe,Jan,Small,false,false,false,false,31.0,71.81,2226.11,84.0
Dublin,Dublin,10297,25,82.79,4,2069.75,Shipped,3,9,2004,Planes,84,S18_2581,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Floor No. 4,2,Ireland,EMEA,Cassidy,Dean,Small,false,false,false,false,25.0,82.79,2069.75,84.0
White Plains,NY,10308,27,82.79,7,2235.33,Shipped,4,10,2004,Planes,84,S18_2581,Mini Classics,9145554562,3758 North Pendale Street,NOT PROVIDED,24067,USA,NA,Frick,Steve,Small,false,false,false,false,27.0,82.79,2235.33,84.0
Allentown,PA,10318,31,100.0,9,3116.43,Shipped,4,11,2004,Planes,84,S18_2581,Diecast Classics Inc.,2155551555,7586 Pompton St.,NOT PROVIDED,70267,USA,NA,Yu,Kyung,Medium,false,false,false,false,31.0,100.0,3116.43,84.0
Kobenhavn,Kobenhavn,10327,45,100.0,8,4781.7,Resolved,4,11,2004,Planes,84,S18_2581,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,NOT PROVIDED,1734,Denmark,EMEA,Petersen,Jytte,Medium,false,false,false,false,45.0,100.0,4781.7,84.0
Minato-ku,Tokyo,10339,27,100.0,2,2810.7,Shipped,4,11,2004,Planes,84,S18_2581,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,NOT PROVIDED,106-0032,Japan,Japan,Shimamura,Akiko,Small,false,false,false,false,27.0,100.0,2810.7,84.0
Glendale,CT,10353,27,100.0,1,3515.67,Shipped,4,12,2004,Planes,84,S18_2581,Gift Ideas Corp.,2035554407,2440 Pompton St.,NOT PROVIDED,97561,USA,NA,Lewis,Dan,Medium,false,false,false,false,27.0,100.0,3515.67,84.0
South Brisbane,Queensland,10374,42,69.27,2,2909.34,Shipped,1,2,2005,Planes,84,S18_2581,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,NOT PROVIDED,4101,Australia,APAC,Calaghan,Tony,Small,false,false,false,false,42.0,69.27,2909.34,84.0
Madrid,Madrid,10386,21,74.77,18,1570.17,Resolved,1,3,2005,Planes,84,S18_2581,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Small,false,false,false,false,21.0,74.77,1570.17,84.0
Reims,Reims,10398,34,76.88,15,2613.92,Shipped,1,3,2005,Planes,84,S18_2581,Reims Collectables,26.47.1555,59 rue de l'Abbaye,NOT PROVIDED,51100,France,EMEA,Henriot,Paul,Small,false,false,false,false,34.0,76.88,2613.92,84.0
Newark,NJ,10401,42,76.03,3,3193.26,On Hold,2,4,2005,Planes,84,S18_2581,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,NOT PROVIDED,94019,USA,NA,Brown,William,Medium,false,false,false,false,42.0,76.03,3193.26,84.0
Reggio Emilia,Reggio Emilia,10416,15,98.84,4,1482.6,Shipped,2,5,2005,Planes,84,S18_2581,L'ordine Souveniers,0522-556555,Strada Provinciale 124,NOT PROVIDED,42100,Italy,EMEA,Moroni,Maurizio,Small,false,false,false,false,15.0,98.84,1482.6,84.0
NYC,NY,10107,29,70.87,6,2055.23,Shipped,1,2,2003,Motorcycles,60,S18_2625,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NOT PROVIDED,10022,USA,NA,Yu,Kwai,Small,false,false,false,false,29.0,70.87,2055.23,60.0
Melbourne,Victoria,10120,46,58.15,4,2674.9,Shipped,2,4,2003,Motorcycles,60,S18_2625,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Small,false,false,false,false,46.0,58.15,2674.9,60.0
Paris,Paris,10134,30,61.78,6,1853.4,Shipped,3,7,2003,Motorcycles,60,S18_2625,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,NOT PROVIDED,75508,France,EMEA,Da Cunha,Daniel,Small,false,false,false,false,30.0,61.78,1853.4,60.0
Pasadena,CA,10145,30,49.67,10,1490.1,Shipped,3,8,2003,Motorcycles,60,S18_2625,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,NOT PROVIDED,90003,USA,NA,Young,Julie,Small,false,false,false,false,30.0,49.67,1490.1,60.0
San Francisco,CA,10159,42,51.48,18,2162.16,Shipped,4,10,2003,Motorcycles,60,S18_2625,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,NOT PROVIDED,CA00000,USA,NA,Brown,Julie,Small,false,false,false,false,42.0,51.48,2162.16,60.0
Burlingame,CA,10168,46,61.18,5,2814.28,Shipped,4,10,2003,Motorcycles,60,S18_2625,Technics Stores Inc.,6505556809,9408 Furth Circle,NOT PROVIDED,94217,USA,NA,Hirano,Juri,Small,false,false,false,false,46.0,61.18,2814.28,60.0
Lille,Lille,10180,25,64.2,13,1605.0,Shipped,4,11,2003,Motorcycles,60,S18_2625,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",NOT PROVIDED,59000,France,EMEA,Rance,Martine,Small,false,false,false,false,25.0,64.2,1605.0,60.0
Bergen,Bergen,10188,32,65.42,5,2093.44,Shipped,4,11,2003,Motorcycles,60,S18_2625,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",NOT PROVIDED,N 5804,Norway,EMEA,Oeztan,Veysel,Small,false,false,false,false,32.0,65.42,2093.44,60.0
San Francisco,CA,10201,30,64.81,6,1944.3,Shipped,4,12,2003,Motorcycles,60,S18_2625,Mini Wheels Co.,6505555787,5557 North Pendale Street,NOT PROVIDED,CA00000,USA,NA,Murphy,Julie,Small,false,false,false,false,30.0,64.81,1944.3,60.0
Osaka,Osaka,10210,40,49.67,3,1986.8,Shipped,1,1,2004,Motorcycles,60,S18_2625,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",NOT PROVIDED,530-0003,Japan,Japan,Kentary,Mory,Small,false,false,false,false,40.0,49.67,1986.8,60.0
Melbourne,Victoria,10223,28,60.57,5,1695.96,Shipped,1,2,2004,Motorcycles,60,S18_2625,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Small,false,false,false,false,28.0,60.57,1695.96,60.0
Philadelphia,PA,10236,23,55.72,2,1281.56,Shipped,2,4,2004,Motorcycles,60,S18_2625,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,NOT PROVIDED,71270,USA,NA,Hernandez,Rosa,Small,false,false,false,false,23.0,55.72,1281.56,60.0
Newark,NJ,10251,29,61.18,6,1774.22,Shipped,2,5,2004,Motorcycles,60,S18_2625,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,NOT PROVIDED,94019,USA,NA,Brown,William,Small,false,false,false,false,29.0,61.18,1774.22,60.0
Bridgewater,CT,10263,34,58.75,6,1997.5,Shipped,2,6,2004,Motorcycles,60,S18_2625,Gift Depot Inc.,2035552570,25593 South Bay Ln.,NOT PROVIDED,97562,USA,NA,King,Julie,Small,false,false,false,false,34.0,58.75,1997.5,60.0
Nantes,Nantes,10275,37,63.6,5,2353.2,Shipped,3,7,2004,Motorcycles,60,S18_2625,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",NOT PROVIDED,44000,France,EMEA,Labrune,Janine,Small,false,false,false,false,37.0,63.6,2353.2,60.0
Cambridge,MA,10285,20,49.06,10,981.2,Shipped,3,8,2004,Motorcycles,60,S18_2625,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,NOT PROVIDED,51247,USA,NA,Hernandez,Marta,Small,false,false,false,false,20.0,49.06,981.2,60.0
Nantes,Nantes,10298,32,48.46,2,1550.72,Shipped,3,9,2004,Motorcycles,60,S18_2625,Atelier graphique,40.32.2555,"54, rue Royale",NOT PROVIDED,44000,France,EMEA,Schmitt,Carine,Small,false,false,false,false,32.0,48.46,1550.72,60.0
White Plains,NY,10308,34,52.09,3,1771.06,Shipped,4,10,2004,Motorcycles,60,S18_2625,Mini Classics,9145554562,3758 North Pendale Street,NOT PROVIDED,24067,USA,NA,Frick,Steve,Small,false,false,false,false,34.0,52.09,1771.06,60.0
Allentown,PA,10318,42,52.7,5,2213.4,Shipped,4,11,2004,Motorcycles,60,S18_2625,Diecast Classics Inc.,2155551555,7586 Pompton St.,NOT PROVIDED,70267,USA,NA,Yu,Kyung,Small,false,false,false,false,42.0,52.7,2213.4,60.0
NYC,NY,10329,38,100.0,12,5266.04,Shipped,4,11,2004,Motorcycles,60,S18_2625,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NOT PROVIDED,10022,USA,NA,Yu,Kwai,Medium,false,false,false,false,38.0,100.0,5266.04,60.0
Minato-ku,Tokyo,10339,30,62.16,1,1864.8,Shipped,4,11,2004,Motorcycles,60,S18_2625,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,NOT PROVIDED,106-0032,Japan,Japan,Shimamura,Akiko,Small,false,false,false,false,30.0,62.16,1864.8,60.0
Burlingame,CA,10362,23,49.67,3,1142.41,Shipped,1,1,2005,Motorcycles,60,S18_2625,Technics Stores Inc.,6505556809,9408 Furth Circle,NOT PROVIDED,94217,USA,NA,Hirano,Juri,Small,false,false,false,false,23.0,49.67,1142.41,60.0
South Brisbane,Queensland,10374,22,53.3,4,1172.6,Shipped,1,2,2005,Motorcycles,60,S18_2625,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,NOT PROVIDED,4101,Australia,APAC,Calaghan,Tony,Small,false,false,false,false,22.0,53.3,1172.6,60.0
Boras,Boras,10389,39,100.0,5,6981.0,Shipped,1,3,2005,Motorcycles,60,S18_2625,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,NOT PROVIDED,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,false,false,false,false,39.0,100.0,6981.0,60.0
Paris,Paris,10402,55,55.72,2,3064.6,Shipped,2,4,2005,Motorcycles,60,S18_2625,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",NOT PROVIDED,75016,France,EMEA,Perrier,Dominique,Medium,false,false,false,false,55.0,55.72,3064.6,60.0
Madrid,Madrid,10417,36,61.18,6,2202.48,Disputed,2,5,2005,Motorcycles,60,S18_2625,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Small,false,false,false,false,36.0,61.18,2202.48,60.0
Frankfurt,Frankfurt,10101,26,100.0,1,3773.38,Shipped,1,1,2003,Vintage Cars,168,S18_2795,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,NOT PROVIDED,60528,Germany,EMEA,Keitel,Roland,Medium,false,false,false,false,26.0,100.0,3773.38,168.0
Manchester,Manchester,10110,31,100.0,1,5074.39,Shipped,1,3,2003,Vintage Cars,168,S18_2795,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,NOT PROVIDED,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium,false,false,false,false,31.0,100.0,5074.39,168.0
Melbourne,Victoria,10125,34,100.0,2,6483.46,Shipped,2,5,2003,Vintage Cars,168,S18_2795,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Medium,false,false,false,false,34.0,100.0,6483.46,168.0
Chatswood,NSW,10139,41,100.0,8,7956.46,Shipped,3,7,2003,Vintage Cars,168,S18_2795,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,2067,Australia,APAC,Huxley,Adrian,Large,false,false,true,false,41.0,100.0,7820.545000000001,168.0
Brisbane,CA,10149,23,100.0,5,4230.62,Shipped,3,9,2003,Vintage Cars,168,S18_2795,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,NOT PROVIDED,94217,USA,NA,Taylor,Sue,Medium,false,false,false,false,23.0,100.0,4230.62,168.0
San Francisco,CA,10162,48,100.0,3,7209.12,Shipped,4,10,2003,Vintage Cars,168,S18_2795,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,NOT PROVIDED,CA00000,USA,NA,Brown,Julie,Large,false,false,false,false,48.0,100.0,7209.12,168.0
Bergamo,Bergamo,10173,22,100.0,7,3452.68,Shipped,4,11,2003,Vintage Cars,168,S18_2795,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,NOT PROVIDED,24100,Italy,EMEA,Rovelli,Giovanni,Medium,false,false,false,false,22.0,100.0,3452.68,168.0
San Rafael,CA,10182,21,100.0,4,3047.73,Shipped,4,11,2003,Vintage Cars,168,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,NOT PROVIDED,97562,USA,NA,Nelson,Valarie,Medium,false,false,false,false,21.0,100.0,3047.73,168.0
Glen Waverly,Victoria,10193,22,100.0,8,3675.32,Shipped,4,11,2003,Vintage Cars,168,S18_2795,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,NOT PROVIDED,3150,Australia,APAC,Connery,Sean,Medium,false,false,false,false,22.0,100.0,3675.32,168.0
Madrid,Madrid,10205,40,100.0,3,7492.4,Shipped,4,12,2003,Vintage Cars,168,S18_2795,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Large,false,false,false,false,40.0,100.0,7492.4,168.0
Madrid,Madrid,10214,50,100.0,1,9534.5,Shipped,1,1,2004,Vintage Cars,168,S18_2795,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",NOT PROVIDED,28023,Spain,EMEA,Sommer,Mart�n,Large,false,false,true,false,50.0,100.0,7820.545000000001,168.0
Lyon,Lyon,10227,29,100.0,4,5579.02,Shipped,1,3,2004,Vintage Cars,168,S18_2795,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",NOT PROVIDED,69004,France,EMEA,Saveley,Mary,Medium,false,false,false,false,29.0,100.0,5579.02,168.0
Madrid,Madrid,10244,43,100.0,8,5950.34,Shipped,2,4,2004,Vintage Cars,168,S18_2795,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Medium,false,false,false,false,43.0,100.0,5950.34,168.0
Strasbourg,Strasbourg,10255,24,100.0,1,3726.0,Shipped,2,6,2004,Vintage Cars,168,S18_2795,Mini Caravy,88.60.1555,"24, place Kluber",NOT PROVIDED,67000,France,EMEA,Citeaux,Frederique,Medium,false,false,false,false,24.0,100.0,3726.0,168.0
Torino,Torino,10280,22,100.0,10,4455.0,Shipped,3,8,2004,Vintage Cars,168,S18_2795,Amica Models & Co.,011-4988555,Via Monte Bianco 34,NOT PROVIDED,10100,Italy,EMEA,Accorti,Paolo,Medium,false,false,false,false,22.0,100.0,4455.0,168.0
Bergen,Bergen,10289,43,100.0,3,8272.34,Shipped,3,9,2004,Vintage Cars,168,S18_2795,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",NOT PROVIDED,N 5804,Norway,EMEA,Oeztan,Veysel,Large,false,false,true,false,43.0,100.0,7820.545000000001,168.0
Versailles,Versailles,10304,20,100.0,14,3577.6,Shipped,4,10,2004,Vintage Cars,168,S18_2795,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",NOT PROVIDED,78000,France,EMEA,Tonini,Daniel,Medium,false,false,false,false,20.0,100.0,3577.6,168.0
San Rafael,CA,10312,25,100.0,11,3881.25,Shipped,4,10,2004,Vintage Cars,168,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,NOT PROVIDED,97562,USA,NA,Nelson,Valarie,Medium,false,false,false,false,25.0,100.0,3881.25,168.0
Nashua,NH,10322,36,100.0,2,5797.44,Shipped,4,11,2004,Vintage Cars,168,S18_2795,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,NOT PROVIDED,62005,USA,NA,Young,Valarie,Medium,false,false,false,false,36.0,100.0,5797.44,168.0
Manchester,Manchester,10332,24,52.67,1,1264.08,Shipped,4,11,2004,Vintage Cars,168,S18_2795,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,NOT PROVIDED,EC2 5NT,UK,EMEA,Ashworth,Victoria,Small,false,false,false,false,24.0,52.67,1264.08,168.0
Melbourne,Victoria,10347,21,100.0,6,4815.3,Shipped,4,11,2004,Vintage Cars,168,S18_2795,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Medium,false,false,false,false,21.0,100.0,4815.3,168.0
Paris,Paris,10356,30,100.0,1,4462.2,Shipped,4,12,2004,Vintage Cars,168,S18_2795,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,NOT PROVIDED,75508,France,EMEA,Da Cunha,Daniel,Medium,false,false,false,false,30.0,100.0,4462.2,168.0
